Date,January Inches,February Inches,March Inches,April Inches,May Inches,June Inches,July Inches,August Inches,September Inches,October Inches,November Inches,December Inches
1895,4.04,1.42,1.97,3.97,2.12,2.96,2.98,3.45,1.41,1.88,6.52,4.04
1896,1.34,4.34,6.35,1.65,2.39,2.95,4.47,3.48,6.04,3.83,4.27,1.34
1897,3.63,2.15,3.67,2.65,5.04,4.03,5.43,4.2,2.71,1.31,5.33,3.63
1898,2.09,6.46,1.96,3.46,2,4.54,2.66,3.6,2.98,5.9,5.35,2.09
1899,2.86,2.48,5.17,0.96,2.54,3.37,5.55,1.11,3.39,2.31,2.7,2.86
1900,1.65,6.89,5.74,1.91,5.1,3.87,3.51,2.14,3.08,4.65,5.43,1.65
1901,7.14,1.74,5.1,5.55,3.06,2.81,3.36,3.91,2.77,3.62,2.32,7.14
1902,4.76,2.23,8.02,2.9,3.51,6.08,2.68,4.25,3.23,4.47,1.7,4.76
1903,3.19,4.16,6.13,2.1,0.73,3.69,4.36,2.56,1.42,2.98,2.31,3.19
1904,1.94,2.07,3.14,4.06,4.75,2.76,4.04,4.2,6.09,3.01,1.79,1.94
1905,3.2,1.66,1.2,1.69,3.02,3.69,3.58,2.14,4.13,1.3,3.78,3.2
1906,3.51,2.21,4.78,2.99,4.14,3.88,4.25,1.97,1.95,5.52,3.51,3.51
1907,3.41,2.37,2.45,3.95,2.32,5.06,5.36,2.86,6.29,4.45,4.13,3.41
1908,3.2,4.37,2.71,2.45,4.68,2.05,3.24,3.94,1.32,3.81,1.79,3.2
1909,2.54,4.91,4.1,4.14,3.08,2.65,3.14,2.37,7.51,1.94,4.42,2.54
1910,2.71,3.41,1.85,4.02,2.77,3.52,3.91,2.96,2.51,2.29,2.39,2.71
1911,3.26,2.21,3.99,1.19,0.71,4.63,4.4,3.15,3.23,2.16,4,3.26
1912,3.33,3.06,3.84,2.87,6.49,2.17,3.31,5.84,3.2,4.93,4.47,3.33
1913,3.4,2.21,5.29,2.21,3.57,1.31,3.77,3.09,3.7,6.41,2.19,3.4
1914,1.95,2.05,3.79,4.13,1.84,3.85,2.74,3.48,2.09,3.07,2.65,1.95
1915,3.54,3.88,0.46,3.05,3.52,2.37,6.81,3.66,2.45,2.52,2.85,3.54
1916,4.73,3.43,2.17,3.11,4.39,4.62,4.71,2.82,4.12,3.01,3.07,4.73
1917,2.99,2.29,3.42,2.87,3.3,9.36,3.75,5.57,1.58,6.16,1.44,2.99
1918,3.16,3.02,1.98,2.2,2.81,4.01,6.25,2.63,6.56,4.8,3.64,3.16
1919,1.71,2.14,4.02,3.08,3.94,2.35,3.66,2.54,4.14,3.76,3.97,1.71
1920,5.32,5.52,3.36,6.34,1.65,3.02,4.21,3.8,6.6,3.04,3.33,5.32
1921,2.14,2.45,3.3,3.11,1.67,1.88,3.06,4.24,2.8,3.3,4.77,2.14
1922,2.74,2.66,3.36,2.83,2.89,8.98,2.43,4.71,1.67,2.84,2.16,2.74
1923,3.35,1.68,3.65,5.98,1.85,2.7,3.39,2.66,2.22,3.54,3.76,3.35
1924,2.14,2.14,1.35,4.72,3.57,1.91,2.99,3.89,4.81,0.91,3.25,2.14
1925,2.69,2.99,4.16,1.58,2.06,5.23,3.85,1.73,5.17,6.23,4.59,2.69
1926,2.71,3.07,2.65,2.84,2.19,3.01,2.57,3.77,3.43,5.07,5.23,2.71
1927,5.24,2.98,1.39,1.35,4.76,2.61,4.18,4.97,2.2,6.2,6.72,5.24
1928,3.5,2.08,2.55,4,4.64,3.59,3.88,4.06,4.18,3.32,2.5,3.5
1929,3.72,2.09,2.82,4.73,4.5,2.86,2.34,2.84,2.01,3.33,2.55,3.72
